City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,klyuchi,52.2667,79.1667,23.19,39,100,3.18,RU,1686167193
124,stanley,54.868,-1.6985,10.77,77,75,3.09,GB,1686167193
125,chos malal,-37.3781,-70.2709,18.77,34,86,2.53,AR,1686167194
126,salahonda,2.1019,-78.7217,27.58,79,96,5.85,CO,1686167194
127,obock,12.25,43.0833,28.46,46,33,6.65,DJ,1686167194
128,praia da vitoria,38.7333,-27.0667,20.14,77,40,9.4,PT,1686167194
129,ebon,4.582,168.6964,28.68,77,86,6.43,MH,1686167194
130,khilok,51.3674,110.4676,8.28,48,100,1.31,RU,1686167194
131,kolonia,50.9333,6.95,20.46,80,0,0.51,DE,1686166953
132,port douglas,-16.4833,145.4667,21.76,83,66,3.54,AU,1686167056
133,new norfolk,-42.7826,147.0587,14.28,88,100,0.89,AU,1686167194
134,kirkuk,35.4681,44.3922,31.18,16,63,3.87,IQ,1686167195
135,lata,40.1629,-8.3327,21.62,91,53,0.63,PT,1686167195
136,hami,42.8,93.45,28.15,15,6,1.49,CN,1686167195
137,ihosy,-22.4,46.1167,17.13,94,71,3.51,MG,1686167195
138,gizo,-8.103,156.8419,27.32,82,53,2.99,SB,1686167195
139,turaif,31.6725,38.6637,27.14,17,0,3.6,SA,1686167195
140,labrador city,52.9463,-66.9114,3.95,100,75,6.69,CA,1686167113
141,mount isa,-20.7333,139.5,12.87,82,27,0.0,AU,1686167196
142,hamilton,39.1834,-84.5333,25.51,41,20,3.6,US,1686167027
143,birao,10.2849,22.7882,26.06,71,98,1.57,CF,1686167196
144,waddan,29.1614,16.139,24.61,44,71,7.57,LY,1686167196
145,luderitz,-26.6481,15.1594,13.9,80,0,4.2,NA,1686167196
146,coihueco,-36.6167,-71.8333,14.41,82,75,4.12,CL,1686167196
147,nabire,-3.3667,135.4833,24.31,91,56,1.25,ID,1686167196
148,ola,59.5833,151.2833,6.76,70,23,1.13,RU,1686167197
149,klaksvik,62.2266,-6.589,9.51,84,100,3.82,FO,1686167197
150,sinabang,2.4803,96.3801,26.49,79,100,1.71,ID,1686167197
151,sabancuy,18.9667,-91.1833,31.34,61,9,4.84,MX,1686167197
152,pandan,14.0453,124.1694,26.7,79,100,2.14,PH,1686167197
153,niceville,30.5169,-86.4822,28.97,69,75,4.63,US,1686167078
154,bardai,11.65,7.2333,23.57,67,100,3.3,NG,1686167197
155,embi,48.8264,58.1442,18.53,45,100,5.97,KZ,1686167198
156,jeddah,21.5169,39.2192,31.92,48,0,2.57,SA,1686167198
157,tazacorte,28.629,-17.9293,22.54,91,40,3.6,ES,1686167198
158,carnarvon,-24.8667,113.6333,16.93,57,0,6.41,AU,1686167198
159,goundam,16.4145,-3.6708,35.25,11,1,3.83,ML,1686167198
160,enewetak,11.3474,162.3373,27.85,79,92,6.58,MH,1686167198
161,bethel,41.3712,-73.414,20.3,47,100,5.14,US,1686167198
162,quang ngai,15.1167,108.8,25.29,90,100,1.67,VN,1686167199
163,hermanus,-34.4187,19.2345,14.33,83,98,4.64,ZA,1686167199
164,atakpame,7.5333,1.1333,22.9,93,66,2.69,TG,1686167199
165,itoman,26.1247,127.6694,26.21,89,20,7.2,JP,1686167199
166,agadez,19.75,10.25,34.75,17,3,2.3,NE,1686167199
167,coronel dorrego,-38.7187,-61.2873,16.1,26,88,3.24,AR,1686167199
168,lompoc,34.6391,-120.4579,19.78,74,74,2.68,US,1686167020
169,antofagasta,-23.65,-70.4,17.6,71,6,2.11,CL,1686167163
170,remire-montjoly,4.9167,-52.2667,28.02,74,75,4.12,GF,1686167123
171,tchaourou,8.8865,2.5975,25.48,79,39,4.13,BJ,1686167200
172,susuman,62.7833,148.1667,11.45,72,100,0.86,RU,1686167200
173,tsiombe,-25.3,45.4833,20.74,93,13,3.6,MG,1686167200
174,yerofey pavlovich,53.9667,121.9667,8.02,97,100,2.23,RU,1686167200
175,manacapuru,-3.2997,-60.6206,29.26,72,98,2.18,BR,1686167200
176,keflavik,64.0049,-22.5624,9.95,100,100,10.29,IS,1686166947
177,ust-tsilma,65.441,52.1498,2.73,73,100,1.58,RU,1686167200
178,vodnyy,63.5046,53.4095,3.16,76,22,1.63,RU,1686167201
179,mejit,10.2753,170.8646,27.71,83,95,7.39,MH,1686167201
180,balezino,57.9796,53.0106,7.62,77,13,1.46,RU,1686167201
181,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,81,20,1.0,RU,1686167124
182,georgetown,5.4112,100.3354,28.96,82,20,1.54,MY,1686167026
183,kapuskasing,49.4169,-82.4331,20.05,30,40,8.23,CA,1686167201
184,muisne,0.6,-80.0333,27.35,82,37,5.32,EC,1686167201
185,alaghsas,17.0187,8.0168,34.27,16,40,3.92,NE,1686167202
186,uturoa,-16.7333,-151.4333,27.18,60,48,8.47,PF,1686167202
187,margaret river,-33.95,115.0667,15.66,78,100,7.18,AU,1686167202
188,mount gambier,-37.8333,140.7667,9.8,96,96,4.08,AU,1686167202
189,nguigmi,14.2495,13.1092,28.63,63,100,3.7,NE,1686167202
190,tomatlan,19.9333,-105.25,31.88,51,30,5.63,MX,1686167202
191,nar'yan-mar,67.6713,53.087,3.08,68,100,3.93,RU,1686167202
192,ust'-ilimsk,58.0006,102.6619,13.11,94,12,1.01,RU,1686167203
193,hawaiian paradise park,19.5933,-154.9731,25.43,83,100,3.09,US,1686167203
194,nelson bay,-32.7167,152.15,13.33,94,0,2.24,AU,1686167203
195,belyy yar,53.6039,91.3903,18.94,59,0,1.0,RU,1686167203
196,dien bien phu,21.3833,103.0167,22.65,100,96,0.69,VN,1686167203
197,sovetskoye,52.2861,85.4131,20.16,50,100,2.14,RU,1686167203
198,kyren,51.6828,102.1408,14.89,72,38,0.82,RU,1686167204
199,anadyr,64.75,177.4833,5.28,86,100,1.0,RU,1686167204
200,mlyniv,50.509,25.6168,12.7,89,100,3.73,UA,1686167204
201,talodi,10.6325,30.3797,27.42,60,42,0.7,SD,1686167204
202,langsa,4.4683,97.9683,24.44,96,100,1.07,ID,1686167204
203,touros,-5.1989,-35.4608,26.81,78,7,5.85,BR,1686167007
204,buala,-8.145,159.5921,26.38,84,100,0.97,SB,1686167205
205,nova sintra,14.8667,-24.7167,22.34,76,6,2.58,CV,1686167205
206,oral,51.2333,51.3667,11.99,58,0,1.0,KZ,1686167205
207,fortuna,40.5982,-124.1573,15.92,94,100,3.6,US,1686167205
208,borogontsy,62.6683,131.1683,11.93,79,2,2.62,RU,1686167205
209,leticia,-4.2153,-69.9406,25.03,94,75,2.06,CO,1686167205
210,palmer,42.1584,-72.3287,18.57,60,100,5.14,US,1686167205
211,oldenburg in holstein,54.3,10.8833,15.16,82,0,0.46,DE,1686167206
212,stettler,52.3168,-112.7186,26.86,36,0,3.6,CA,1686167206
213,kapit,2.0167,112.9333,23.58,99,100,0.55,MY,1686167206
214,fort bragg,35.139,-79.006,29.08,48,40,5.14,US,1686167077
215,ribeira grande,38.5167,-28.7,19.32,68,40,5.81,PT,1686167206
216,san andres,12.5847,-81.7006,32.01,70,20,3.09,CO,1686167206
217,xiongzhou,25.1167,114.3,24.34,97,100,1.21,CN,1686167206
218,kiunga,-6.1219,141.2906,23.52,99,94,0.72,PG,1686167206
219,las tablas,7.7667,-80.2833,29.54,99,100,1.13,PA,1686167044
220,dosso,13.049,3.1937,35.92,31,97,6.51,NE,1686167207
221,sibenik,43.7272,15.9058,22.81,84,3,1.48,HR,1686167207
222,chonchi,-42.6128,-73.8092,8.95,92,100,4.62,CL,1686167207
223,evergreen,39.6333,-105.3172,23.64,44,38,2.24,US,1686167207
224,howrah,22.5892,88.3103,32.0,79,40,4.12,IN,1686167207
225,kazerun,29.6195,51.6541,27.56,30,96,0.98,IR,1686167207
226,chipata,-13.6333,32.65,15.69,58,0,2.49,ZM,1686167207
227,taltal,-25.4,-70.4833,17.28,74,42,1.47,CL,1686167208
228,mossel bay,-34.1831,22.146,10.96,76,84,4.55,ZA,1686167208
229,seka,17.9285,103.9552,24.97,93,100,3.4,TH,1686167208
230,badger,64.8,-147.5333,21.4,48,75,2.57,US,1686167208
231,neiafu,-18.65,-173.9833,24.38,78,75,2.06,TO,1686167208
232,kamina,-8.7386,24.9906,19.98,50,5,1.01,CD,1686167208
233,cestos city,5.46,-9.5828,25.79,87,99,3.85,LR,1686167208
234,rosarito,32.3333,-117.0333,19.24,62,27,4.64,MX,1686166993
235,gilgit,35.9221,74.3087,21.52,45,96,2.51,PK,1686167209
236,east london,-33.0153,27.9116,15.52,77,0,5.14,ZA,1686167209
237,dover,39.1582,-75.5244,25.61,37,40,6.17,US,1686167153
238,imbituba,-28.24,-48.6703,20.54,75,92,1.44,BR,1686167209
239,vorgashor,67.5833,63.95,3.22,76,85,3.9,RU,1686167209
240,weiser,44.251,-116.9693,30.73,36,99,1.34,US,1686167209
241,howard springs,-12.497,131.047,24.95,90,30,2.02,AU,1686167209
242,suhbaatar,50.2314,106.2078,13.77,50,16,1.27,MN,1686167210
243,island harbour,50.724,-1.2758,21.02,79,1,6.5,GB,1686167210
244,lihue,21.9789,-159.3672,26.77,71,20,4.12,US,1686167210
245,portales,34.1862,-103.3344,27.23,39,97,4.07,US,1686167109
246,barranca,-10.75,-77.7667,24.14,72,32,4.53,PE,1686167210
247,vangaindrano,-23.35,47.6,20.45,91,9,0.5,MG,1686167210
248,shingu,33.7333,135.9833,18.22,72,100,1.83,JP,1686167210
249,kangal,39.2335,37.3911,14.56,65,0,1.84,TR,1686167210
250,tam ky,15.5667,108.4833,25.25,92,100,2.08,VN,1686167211
251,tegina,10.0706,6.1906,22.18,85,100,3.42,NG,1686167211
252,ancud,-41.8697,-73.8203,10.52,89,100,9.19,CL,1686167211
253,st. john's,47.5649,-52.7093,12.53,95,100,1.34,CA,1686166989
254,saldanha,-33.0117,17.9442,13.03,92,100,10.76,ZA,1686167211
255,chizhou,30.6578,117.4831,22.6,93,100,1.61,CN,1686167211
256,nyrob,60.733,56.7202,5.65,90,12,0.91,RU,1686167211
257,barletta,41.3118,16.2908,22.11,77,100,1.45,IT,1686167211
258,smithers,54.7804,-127.1743,19.18,30,0,1.54,CA,1686167212
259,coahuayana de hidalgo,18.7,-103.6583,32.79,52,16,4.07,MX,1686167212
260,tralee,52.2704,-9.7026,16.41,75,36,2.85,IE,1686167212
261,santa cruz,-17.8,-63.1667,29.03,61,40,6.69,BO,1686166964
262,cambria,35.5641,-121.0808,19.2,77,61,1.34,US,1686167212
263,laojunmiao,39.8333,97.7333,17.77,17,93,1.02,CN,1686167212
264,tolanaro,-25.0319,46.9987,23.04,88,20,8.23,MG,1686167212
265,kohtla-jarve,59.3986,27.2731,8.88,72,0,1.61,EE,1686167212
266,tabarka,36.9544,8.758,24.36,73,20,1.54,TN,1686167213
267,porto novo,6.4965,2.6036,26.9,84,40,3.91,BJ,1686167213
268,kropyvnytskyi,48.5132,32.2597,18.14,51,100,2.8,UA,1686167213
269,tofol,5.3248,163.0078,28.81,76,87,5.48,FM,1686167213
270,ojinaga,29.5667,-104.4167,34.12,33,0,1.54,MX,1686167213
271,patrasaer,23.2167,87.5167,29.83,73,100,3.8,IN,1686167213
272,wynyard,-41.0,145.7167,12.21,95,100,2.34,AU,1686167213
273,lasam,18.0652,121.6006,24.3,96,40,1.01,PH,1686167213
274,coursan,43.2337,3.0571,22.12,67,100,3.58,FR,1686167214
275,coquimbo,-29.9533,-71.3436,16.85,82,75,4.12,CL,1686167053
276,codrington,-38.2667,141.9667,9.94,93,10,5.27,AU,1686167214
277,yeppoon,-23.1333,150.7333,15.88,89,54,3.71,AU,1686167214
278,usogorsk,63.4106,48.6872,3.04,72,99,1.57,RU,1686167214
279,sogndal,61.2283,7.1003,16.21,58,20,6.17,NO,1686167214
280,salinas,36.6777,-121.6555,19.34,75,100,2.57,US,1686167214
281,sault ste. marie,46.5168,-84.3333,19.16,38,0,7.2,CA,1686166483
282,alamos,27.0167,-108.9333,32.86,29,48,4.22,MX,1686167214
283,dunedin,-45.8742,170.5036,4.89,91,2,0.89,NZ,1686167215
284,antsiranana,-12.2787,49.2917,24.39,77,0,8.41,MG,1686167215
285,bam,29.106,58.357,29.53,27,87,4.11,IR,1686167215
286,utrik,11.2278,169.8474,27.66,82,76,7.17,MH,1686167215
287,limon,10.0,-83.0333,31.7,70,0,4.63,CR,1686167215
288,nadym,65.5333,72.5167,10.57,69,95,4.71,RU,1686167215
289,trinidad,-14.8333,-64.9,31.99,58,20,2.57,BO,1686167215
290,minas de marcona,-15.2119,-75.1103,18.64,61,7,4.0,PE,1686166933
291,richards bay,-28.783,32.0377,21.54,56,0,4.45,ZA,1686167216
292,ginir,7.1333,40.7,15.86,75,24,1.2,ET,1686167216
293,whakatane,-37.9585,176.9854,12.91,70,23,6.06,NZ,1686167216
294,greenville,35.6127,-77.3663,24.09,80,100,0.45,US,1686167216
295,otjiwarongo,-20.4637,16.6477,14.04,37,0,3.26,NA,1686167216
296,atafu village,-8.5421,-172.5159,28.38,73,14,3.09,TK,1686167216
297,betio village,1.358,172.9211,27.02,77,95,3.62,KI,1686167216
298,nuku'alofa,-21.1333,-175.2,20.19,94,100,2.57,TO,1686167217
299,nowy dwor gdanski,54.2131,19.1177,17.87,78,10,1.98,PL,1686167217
300,crane,31.3974,-102.3501,30.28,33,47,2.28,US,1686167217
301,taman',45.2117,36.7161,19.53,70,86,5.29,RU,1686167217
302,talakan,50.3167,130.3667,14.42,84,100,4.71,RU,1686167217
303,laguna,38.421,-121.4238,24.13,57,0,4.63,US,1686167217
304,arraial do cabo,-22.9661,-42.0278,23.98,60,0,8.23,BR,1686167217
305,semnan,35.5729,53.3971,22.93,51,100,7.54,IR,1686167218
306,boende,-0.2167,20.8667,24.34,80,52,0.68,CD,1686167218
307,vilyuchinsk,52.9306,158.4028,7.15,78,18,1.63,RU,1686167218
308,plastun,44.7561,136.2939,11.8,98,100,0.95,RU,1686167218
309,damboa,11.156,12.7576,28.06,58,100,2.8,NG,1686167218
310,chu,43.5983,73.7614,22.43,32,57,5.39,KZ,1686167218
311,bereznik,62.8551,42.7072,4.46,67,29,1.46,RU,1686167218
312,manakara,-22.1333,48.0167,20.77,92,33,1.68,MG,1686167219
313,gamba,-2.65,10.0,22.99,87,100,2.48,GA,1686167219
314,naifaru,5.4444,73.3657,28.84,80,92,7.51,MV,1686167219
315,shenkursk,62.1091,42.896,5.11,66,61,1.99,RU,1686167219
316,tadine,-21.55,167.8833,20.31,67,19,5.24,NC,1686167219
317,al kharj,24.155,47.3346,35.32,17,20,2.84,SA,1686167219
318,gurupa,-1.405,-51.64,26.63,91,100,1.31,BR,1686167219
319,pariaman,-0.619,100.12,25.85,82,100,1.01,ID,1686167219
320,namie,37.4833,141.0,17.62,92,100,1.62,JP,1686167220
321,swan hill,-35.3378,143.5544,12.18,88,56,3.85,AU,1686167220
322,belmonte,-15.8631,-38.8828,24.42,70,12,4.57,BR,1686166996
323,bonthe,7.5264,-12.505,26.55,81,100,2.53,SL,1686167220
324,greenfields,-33.0333,27.8622,15.08,77,0,5.14,ZA,1686167220
325,terra santa,-2.1042,-56.4869,30.87,61,58,1.68,BR,1686167220
326,orchard homes,46.8633,-114.0484,29.95,40,0,2.57,US,1686167220
327,bowen,-20.0167,148.2333,18.09,85,34,2.68,AU,1686167221
328,lorengau,-2.0226,147.2712,27.05,80,84,1.05,PG,1686167221
329,palopo,-2.9996,120.1921,23.08,73,58,1.8,ID,1686167221
